date,Open,High,Low,Close,Adj. Close,Volume
2021-01-05 18:11:00,370.93,370.93,370.93,370.93,370.93,2126.0
2021-01-05 18:13:00,371.09,371.09,371.09,371.09,371.09,221.0
2021-01-05 18:14:00,371.08,371.08,371.08,371.08,371.08,540.0
2021-01-05 18:15:00,371.1,371.1,371.08,371.08,371.08,476.0
2021-01-05 18:17:00,371.0,371.0,370.97,370.97,370.97,761.0
2021-01-05 18:18:00,370.92,370.93,370.91,370.91,370.91,1506.0
2021-01-05 18:19:00,370.93,370.93,370.81,370.85,370.85,3589.0
2021-01-05 18:20:00,370.82,370.87,370.82,370.87,370.87,396.0
2021-01-05 18:21:00,370.87,370.87,370.87,370.87,370.87,150.0
2021-01-05 18:24:00,370.92,370.92,370.91,370.91,370.91,1384.0
2021-01-05 18:25:00,371.0,371.0,370.95,370.95,370.95,1617.0
2021-01-05 18:26:00,370.97,370.97,370.95,370.95,370.95,1301.0
2021-01-05 18:28:00,370.94,371.0,370.94,371.0,371.0,2731.0
2021-01-05 18:29:00,371.0,371.0,370.98,371.0,371.0,10300.0
2021-01-05 18:31:00,370.98,370.98,370.68,370.68,370.68,4717.0
2021-01-05 18:32:00,370.71,370.76,370.71,370.76,370.76,1682.0
2021-01-05 18:34:00,370.8,370.8,370.65,370.65,370.65,3455.0
2021-01-05 18:35:00,370.69,370.74,370.68,370.74,370.74,3401.0
2021-01-05 18:36:00,370.76,370.76,370.69,370.69,370.69,1976.0
2021-01-05 18:37:00,370.74,370.74,370.74,370.74,370.74,185.0
2021-01-05 18:38:00,370.79,370.81,370.79,370.8,370.8,1413.0
2021-01-05 18:39:00,370.85,370.89,370.85,370.89,370.89,1306.0
2021-01-05 18:40:00,370.94,371.04,370.93,371.04,371.04,2519.0
2021-01-05 18:41:00,370.94,370.94,370.94,370.94,370.94,430.0
2021-01-05 18:42:00,371.01,371.05,370.99,370.99,370.99,1610.0
2021-01-05 18:44:00,371.01,371.06,371.01,371.06,371.06,1655.0
2021-01-05 18:45:00,370.99,370.99,370.99,370.99,370.99,3028.0
2021-01-05 18:46:00,370.99,371.04,370.99,371.04,371.04,700.0
2021-01-05 18:48:00,371.02,371.02,371.01,371.01,371.01,850.0
2021-01-05 18:49:00,370.99,371.01,370.99,371.01,371.01,479.0
2021-01-05 18:50:00,371.02,371.05,371.02,371.05,371.05,450.0
2021-01-05 18:51:00,371.15,371.23,371.14,371.23,371.23,2954.0
2021-01-05 18:52:00,371.16,371.19,371.11,371.11,371.11,3871.0
2021-01-05 18:54:00,371.11,371.11,371.06,371.06,371.06,1200.0
2021-01-05 18:55:00,371.06,371.06,371.06,371.06,371.06,240.0
2021-01-05 18:56:00,371.01,371.01,370.97,370.98,370.98,2080.0
2021-01-05 18:57:00,370.99,370.99,370.99,370.99,370.99,212.0
2021-01-05 18:58:00,370.99,371.01,370.91,370.91,370.91,750.0
2021-01-05 18:59:00,370.92,370.92,370.92,370.92,370.92,589.0
2021-01-05 19:01:00,371.04,371.04,371.04,371.04,371.04,150.0
2021-01-05 19:02:00,371.15,371.31,371.15,371.16,371.16,4990.0
2021-01-05 19:03:00,371.11,371.11,371.09,371.09,371.09,1400.0
2021-01-05 19:04:00,371.19,371.49,371.19,371.49,371.49,8052.0
2021-01-05 19:05:00,371.58,371.58,371.42,371.42,371.42,3300.0
2021-01-05 19:06:00,371.4,371.4,371.33,371.33,371.33,2731.0
2021-01-05 19:07:00,371.21,371.21,371.21,371.21,371.21,551.0
2021-01-05 19:09:00,371.28,371.28,371.28,371.28,371.28,100.0
2021-01-05 19:10:00,371.21,371.21,371.13,371.13,371.13,1235.0
2021-01-05 19:11:00,371.13,371.13,371.11,371.13,371.13,3020.0
2021-01-05 19:12:00,371.13,371.13,371.1,371.1,371.1,684.0
2021-01-05 19:13:00,371.12,371.21,371.12,371.2099,371.2099,1330.0
2021-01-05 19:14:00,371.17,371.17,371.17,371.17,371.17,410.0
2021-01-05 19:15:00,371.24,371.24,371.24,371.24,371.24,260.0
2021-01-05 19:16:00,371.29,371.29,371.29,371.29,371.29,540.0
2021-01-05 19:17:00,371.2,371.2,371.2,371.2,371.2,542.0
2021-01-05 19:18:00,371.19,371.26,371.19,371.26,371.26,732.0
2021-01-05 19:19:00,371.27,371.29,371.17,371.17,371.17,741.0
2021-01-05 19:20:00,371.24,371.33,371.24,371.33,371.33,424.0
2021-01-05 19:21:00,371.39,371.58,371.39,371.58,371.58,6102.0
2021-01-05 19:22:00,371.58,371.68,371.58,371.66,371.66,2038.0
2021-01-05 19:23:00,371.65,372.0,371.65,371.89,371.89,32911.0
2021-01-05 19:24:00,371.89,372.02,371.86,371.94,371.94,5566.0
2021-01-05 19:25:00,371.86,371.98,371.86,371.95,371.95,2843.0
2021-01-05 19:26:00,372.0,372.05,371.96,372.01,372.01,6049.0
2021-01-05 19:27:00,372.03,372.13,371.9,371.9,371.9,5935.0
2021-01-05 19:28:00,371.9,371.9,371.86,371.87,371.87,4315.0
2021-01-05 19:29:00,371.85,371.87,371.82,371.87,371.87,1870.0
2021-01-05 19:30:00,371.95,371.97,371.92,371.92,371.92,749.0
2021-01-05 19:31:00,371.99,372.15,371.97,372.0,372.0,3951.0
2021-01-05 19:32:00,371.95,371.97,371.95,371.95,371.95,810.0
2021-01-05 19:34:00,371.99,372.0,371.97,371.99,371.99,1945.0
2021-01-05 19:35:00,371.99,372.29,371.99,372.29,372.29,6683.0
2021-01-05 19:36:00,372.19,372.19,372.11,372.14,372.14,4975.0
2021-01-05 19:37:00,372.16,372.29,372.16,372.26,372.26,1655.0
2021-01-05 19:38:00,372.24,372.26,372.24,372.26,372.26,1146.0
2021-01-05 19:39:00,372.26,372.36,372.26,372.31,372.31,6883.0
2021-01-05 19:40:00,372.31,372.43,372.3,372.43,372.43,3724.0
2021-01-05 19:41:00,372.43,372.47,372.37,372.42,372.42,3946.0
2021-01-05 19:42:00,372.42,372.69,372.42,372.69,372.69,8663.0
2021-01-05 19:43:00,372.69,372.77,372.64,372.75,372.75,7904.0
2021-01-05 19:44:00,372.74,372.89,372.74,372.89,372.89,7653.0
2021-01-05 19:45:00,372.7,372.86,372.57,372.86,372.86,8945.0
2021-01-05 19:46:00,372.84,372.88,372.71,372.74,372.74,2526.0
2021-01-05 19:47:00,372.74,372.84,372.72,372.84,372.84,4072.0
2021-01-05 19:48:00,372.79,372.84,372.71,372.71,372.71,5039.0
2021-01-05 19:49:00,372.69,372.69,372.51,372.54,372.54,5449.0
2021-01-05 19:50:00,372.61,372.67,372.58,372.58,372.58,1406.0
2021-01-05 19:51:00,372.58,372.65,372.54,372.63,372.63,5221.0
2021-01-05 19:52:00,372.63,372.63,372.47,372.47,372.47,1953.0
2021-01-05 19:53:00,372.48,372.48,372.26,372.29,372.29,11468.0
2021-01-05 19:54:00,372.39,372.39,371.8,372.0,372.0,15125.0
2021-01-05 19:55:00,371.98,372.1,371.95,372.02,372.02,20103.0
2021-01-05 19:56:00,372.02,372.02,371.37,371.54,371.54,20685.0
2021-01-05 19:57:00,371.45,371.45,370.81,371.19,371.19,32402.0
2021-01-05 19:58:00,371.11,371.19,370.94,371.19,371.19,13299.0
2021-01-05 19:59:00,371.21,371.39,371.21,371.35,371.35,9755.0
2021-01-05 20:00:00,371.35,371.58,371.33,371.41,371.41,17741.0
2021-01-06 04:01:00,368.66,368.79,368.6,368.6,368.6,5971.0
2021-01-06 04:02:00,368.31,368.44,368.04,368.44,368.44,6340.0
2021-01-06 04:03:00,368.59,368.69,368.5,368.5,368.5,6776.0
2021-01-06 04:04:00,368.55,368.66,368.55,368.66,368.66,4102.0
2021-01-06 04:05:00,368.69,368.74,368.69,368.74,368.74,2745.0
2021-01-06 04:06:00,368.69,368.74,368.61,368.69,368.69,2183.0
2021-01-06 04:07:00,368.76,368.76,368.76,368.76,368.76,657.0
2021-01-06 04:08:00,368.81,368.81,368.81,368.81,368.81,353.0
2021-01-06 04:09:00,368.75,368.75,368.67,368.67,368.67,978.0
2021-01-06 04:10:00,368.75,368.84,368.75,368.84,368.84,2802.0
2021-01-06 04:11:00,368.82,368.89,368.77,368.77,368.77,2565.0
2021-01-06 04:12:00,368.74,368.92,368.74,368.92,368.92,2050.0
2021-01-06 04:14:00,368.9,369.02,368.9,369.02,369.02,252.0
2021-01-06 04:15:00,369.1,369.11,369.02,369.02,369.02,3055.0
2021-01-06 04:16:00,369.08,369.3,369.08,369.3,369.3,2385.0
2021-01-06 04:17:00,369.21,369.27,369.2,369.2,369.2,3236.0
2021-01-06 04:18:00,369.29,369.47,369.29,369.47,369.47,4435.0
2021-01-06 04:19:00,369.7,369.79,369.7,369.72,369.72,3802.0
2021-01-06 04:20:00,369.79,369.8,369.71,369.71,369.71,3789.0
2021-01-06 04:21:00,369.75,369.77,369.71,369.72,369.72,3735.0
2021-01-06 04:22:00,369.66,369.69,369.64,369.67,369.67,3464.0
2021-01-06 04:23:00,369.6,369.6,369.49,369.49,369.49,2122.0
2021-01-06 04:24:00,369.49,369.5,369.46,369.5,369.5,2392.0
2021-01-06 04:25:00,369.48,369.51,369.48,369.51,369.51,1166.0
2021-01-06 04:26:00,369.53,369.55,369.53,369.55,369.55,1750.0
2021-01-06 04:27:00,369.56,369.56,369.56,369.56,369.56,460.0
2021-01-06 04:28:00,369.49,369.5,369.48,369.49,369.49,2282.0
2021-01-06 04:29:00,369.49,369.49,369.49,369.49,369.49,1076.0
2021-01-06 04:30:00,369.47,369.47,369.47,369.47,369.47,1000.0
2021-01-06 04:32:00,369.36,369.4,369.36,369.4,369.4,1945.0
2021-01-06 04:33:00,369.4,369.52,369.4,369.5,369.5,1513.0
2021-01-06 04:34:00,369.5,369.58,369.5,369.58,369.58,610.0
2021-01-06 04:35:00,369.55,369.55,369.55,369.55,369.55,201.0
2021-01-06 04:36:00,369.55,369.64,369.39,369.51,369.51,7862.0
2021-01-06 04:37:00,369.46,369.46,369.46,369.46,369.46,500.0
2021-01-06 04:38:00,369.43,369.43,369.43,369.43,369.43,1110.0
2021-01-06 04:39:00,369.45,369.46,369.45,369.45,369.45,2120.0
2021-01-06 04:40:00,369.6,369.6,369.54,369.54,369.54,560.0
2021-01-06 04:41:00,369.54,369.56,369.54,369.56,369.56,639.0
2021-01-06 04:42:00,369.48,369.52,369.48,369.52,369.52,1700.0
2021-01-06 04:44:00,369.59,369.67,369.59,369.67,369.67,410.0
2021-01-06 04:45:00,369.7,369.7,369.7,369.7,369.7,240.0
2021-01-06 04:46:00,369.78,369.78,369.78,369.78,369.78,215.0
2021-01-06 04:47:00,369.76,369.9,369.76,369.9,369.9,6041.0
2021-01-06 04:48:00,369.97,370.05,369.97,370.05,370.05,10340.0
2021-01-06 04:49:00,370.15,370.2,370.15,370.2,370.2,660.0
2021-01-06 04:50:00,370.31,370.48,370.27,370.42,370.42,6985.0
2021-01-06 04:51:00,370.45,370.62,370.42,370.6,370.6,1154.0
2021-01-06 04:52:00,370.57,370.64,370.56,370.56,370.56,12620.0
2021-01-06 04:53:00,370.46,370.46,370.46,370.46,370.46,100.0
2021-01-06 04:54:00,370.54,370.6,370.53,370.55,370.55,839.0
2021-01-06 04:55:00,370.5,370.5,370.5,370.5,370.5,510.0
2021-01-06 04:56:00,370.42,370.42,370.42,370.42,370.42,280.0
2021-01-06 04:57:00,370.42,370.43,370.36,370.36,370.36,1727.0
2021-01-06 04:58:00,370.15,370.15,370.15,370.15,370.15,360.0
2021-01-06 04:59:00,370.21,370.21,370.12,370.12,370.12,1000.0
2021-01-06 05:00:00,370.12,370.17,370.12,370.13,370.13,2359.0
2021-01-06 05:01:00,370.37,370.37,370.37,370.37,370.37,215.0
2021-01-06 05:03:00,370.51,370.52,370.51,370.51,370.51,1705.0
2021-01-06 05:04:00,370.69,370.69,370.69,370.69,370.69,820.0
2021-01-06 05:05:00,370.59,370.59,370.5,370.5,370.5,711.0
2021-01-06 05:06:00,370.5,370.54,370.5,370.54,370.54,801.0
2021-01-06 05:07:00,370.42,370.52,370.42,370.52,370.52,1082.0
2021-01-06 05:08:00,370.45,370.45,370.44,370.44,370.44,303.0
2021-01-06 05:09:00,370.3,370.3,370.3,370.3,370.3,150.0
2021-01-06 05:11:00,370.54,370.54,370.43,370.43,370.43,1689.0
2021-01-06 05:12:00,370.4,370.4,370.22,370.22,370.22,3878.0
2021-01-06 05:13:00,370.25,370.27,370.11,370.11,370.11,3398.0
2021-01-06 05:14:00,370.1,370.13,370.1,370.13,370.13,2826.0
2021-01-06 05:15:00,370.13,370.13,370.13,370.13,370.13,234.0
2021-01-06 05:17:00,370.32,370.32,370.3,370.3,370.3,1689.0
2021-01-06 05:18:00,370.38,370.4,370.29,370.29,370.29,3625.0
